,City,Lat,Lng,Country,Date,Max Temp,Wind Speed,Cloud Cover,Humidity
42,Vaini,15.34,74.49,IN,1540685937,66.57,6.08,0,54
43,Ilulissat,69.22,-51.1,GL,1540684200,30.2,3.36,12,92
44,Fairbanks,64.84,-147.72,US,1540684680,32.0,3.62,90,95
45,Bongaigaon,26.48,90.56,IN,1540685939,63.28,2.84,0,82
46,Nome,30.04,-94.42,US,1540684500,71.6,4.7,1,64
47,Svetlaya,46.54,138.33,RU,1540685939,40.92,11.12,0,100
48,Mashhad,36.3,59.61,IR,1540685940,48.12,4.97,92,93
49,New Norfolk,-42.78,147.06,AU,1540684800,53.6,4.7,75,66
50,Souillac,45.6,-0.6,FR,1540684800,41.0,10.29,0,75
51,Avarua,-21.21,-159.78,CK,1540684800,75.2,8.05,90,94
52,East London,-33.02,27.91,ZA,1540685942,69.22,19.06,20,100
53,Araouane,18.9,-3.53,ML,1540685668,64.5,4.63,0,25
54,Hilo,19.71,-155.08,US,1540684560,82.4,8.05,1,69
55,Cape Town,-33.93,18.42,ZA,1540681200,60.8,3.36,0,93
56,Aswan,24.09,32.9,EG,1540681200,69.8,9.17,0,28
57,Talnakh,69.49,88.39,RU,1540685862,30.97,20.74,88,93
58,Ancud,-41.87,-73.83,CL,1540685945,53.2,6.53,92,97
59,Yar-Sale,66.83,70.83,RU,1540685945,25.84,14.81,88,100
60,Sao Filipe,14.9,-24.5,CV,1540685945,77.91,12.68,8,100
61,Arlit,18.74,7.39,NE,1540685946,79.62,3.96,92,50
62,Patos de Minas,-18.6,-46.51,BR,1540685946,72.6,5.97,92,78
63,Ojinaga,29.56,-104.41,US,1540685946,70.62,2.39,0,30
64,Ballina,54.11,-9.15,IE,1540685947,37.45,8.66,0,100
65,Lata,30.78,78.62,IN,1540685695,40.78,2.84,0,69
66,Labuhan,-2.54,115.51,ID,1540685898,76.78,2.95,32,91
67,Pandan,11.72,122.09,PH,1540685947,82.99,20.51,88,100
68,Nanortalik,60.14,-45.24,GL,1540685948,35.52,14.81,76,94
69,Togur,58.36,82.83,RU,1540685948,46.72,12.01,80,55
70,Sitka,37.17,-99.65,US,1540685677,66.75,4.85,0,41
71,Saint-Francois,46.42,3.91,FR,1540684800,42.8,9.17,90,70
72,Brae,60.4,-1.35,GB,1540684200,44.6,11.41,68,75
73,Jutai,-1.71,-47.89,BR,1540685950,79.48,6.98,8,77
74,Kaeo,-35.1,173.78,NZ,1540685950,65.76,9.22,76,72
75,Khandyga,62.65,135.58,RU,1540685950,7.3,3.74,8,92
76,Makakilo City,21.35,-158.09,US,1540684620,87.8,10.29,1,48
77,Neuquen,-38.95,-68.06,AR,1540681200,77.0,1.12,0,38
78,Hasaki,35.73,140.83,JP,1540683000,64.4,12.75,75,68
79,Butaritari,3.07,172.79,KI,1540685955,85.65,11.34,12,100
80,Port-Cartier,50.03,-66.88,CA,1540681200,21.2,7.2,5,67
81,Vila Velha,-3.71,-38.6,BR,1540681200,80.6,6.93,20,74
82,Tripoli,37.51,22.37,GR,1540684200,60.8,0.94,20,87
83,San Rafael,-34.61,-68.33,AR,1540685956,54.42,3.4,68,98
84,Bonavista,48.65,-53.11,CA,1540685956,40.02,11.68,20,100
85,Waikuku,-43.29,172.68,NZ,1540684800,60.8,10.29,0,67
86,Pisco,-13.71,-76.2,PE,1540681200,68.0,6.93,90,72
87,Nikolskoye,59.7,30.79,RU,1540683000,35.6,13.42,75,96
88,Aksu,52.04,76.93,KZ,1540683000,46.4,13.42,0,36
89,Esperance,10.24,-61.45,TT,1540681200,80.6,5.82,20,78
90,Port Elizabeth,39.31,-74.98,US,1540684500,51.8,10.29,90,100
91,Paita,-5.09,-81.11,PE,1540681200,68.0,12.75,0,82
92,Ribeira Grande,38.52,-28.7,PT,1540685961,67.2,17.49,32,100
93,Lagoa,37.14,-8.45,PT,1540684800,55.4,17.22,0,62
94,Harkany,45.85,18.24,HU,1540684800,59.0,9.17,0,62
95,Filingue,14.35,3.32,NE,1540685774,80.43,3.62,36,68
96,Craig,40.52,-107.55,US,1540684560,62.6,8.05,20,36
97,Hibbing,47.43,-92.94,US,1540683900,46.4,6.93,90,93
98,Humaita,-24.93,-65.37,AR,1540681200,66.2,10.29,90,82
99,Coquimbo,-29.95,-71.34,CL,1540681200,57.2,9.17,0,87
100,Cidreira,-30.17,-50.22,BR,1540685962,63.28,13.24,92,92
101,Simpang,4.82,100.71,MY,1540684800,77.0,5.82,75,88
102,Sterling,39.0,-77.4,US,1540684560,51.8,4.7,90,87
103,Sawakin,19.1,37.33,SD,1540681200,82.4,14.99,40,74
104,Bajil,38.23,-2.07,ES,1540685963,41.32,12.01,24,86
105,Laguna,27.52,-110.01,MX,1540685964,90.64,2.51,0,32
106,Qaqortoq,60.72,-46.03,GL,1540684200,32.0,9.17,68,92
107,Maple Creek,49.91,-109.46,CA,1540685965,51.22,14.47,76,38
108,Leningradskiy,69.38,178.42,RU,1540685965,14.77,4.41,0,100
109,Bethel,60.79,-161.76,US,1540684380,33.8,20.8,40,55
110,Port Lincoln,-34.72,135.86,AU,1540685966,61.84,8.66,88,89
111,Salta,-24.79,-65.41,AR,1540681200,66.2,10.29,90,82
112,Lincoln,40.8,-96.67,US,1540684500,66.2,9.17,1,55
113,Marsh Harbour,26.54,-77.06,BS,1540685967,80.65,5.64,76,100
114,Parambu,-6.21,-40.7,BR,1540685967,83.76,12.01,0,34
115,Provideniya,64.42,-173.23,RU,1540685967,26.92,6.76,8,100
116,Limaong,7.36,122.37,PH,1540684800,84.2,2.24,75,74
117,Elat,2.91,11.16,CM,1540685967,69.27,1.95,24,97
118,Sibolga,1.74,98.78,ID,1540685968,70.62,1.61,56,100
119,Aketi,2.74,23.78,CD,1540685968,72.96,3.74,44,95
120,Povenets,62.85,34.83,RU,1540685968,27.82,8.77,0,100
121,Yalvac,38.3,31.18,TR,1540685968,28.27,2.39,0,93
122,Tasiilaq,65.61,-37.64,GL,1540684200,30.2,35.57,92,100
123,Nabire,-3.36,135.5,ID,1540685969,78.4,1.39,20,78
124,Jamestown,-33.21,138.6,AU,1540685969,54.28,3.85,92,100
125,Ahipara,-35.17,173.16,NZ,1540685969,62.07,11.23,80,88
126,Walvis Bay,-22.95,14.51,NA,1540685840,66.25,2.39,12,91
127,Maceio,-9.67,-35.74,BR,1540681200,75.2,11.41,0,78
128,Hobart,-42.88,147.33,AU,1540684800,53.6,4.7,75,57
129,Khatanga,71.98,102.47,RU,1540685865,34.26,17.6,64,88
130,Viseu de Jos,47.73,24.37,RO,1540684800,55.4,3.36,32,82
131,Lithakia,37.72,20.83,GR,1540684200,62.6,4.7,20,88
132,Grand Gaube,-20.01,57.66,MU,1540681200,64.4,6.93,20,88
133,Siguiri,11.42,-9.17,GN,1540685972,77.14,2.84,76,74
134,Castro,-42.48,-73.76,CL,1540685972,52.84,6.42,92,98
135,Whitianga,-36.83,175.7,NZ,1540685973,62.74,13.58,20,97
136,Port Hawkesbury,45.62,-61.36,CA,1540684800,35.6,8.05,90,64
137,Los Llanos de Aridane,28.66,-17.92,ES,1540684800,68.0,12.75,68,82
138,Praia da Vitoria,38.73,-27.07,PT,1540684800,64.4,17.38,75,68
139,Trairi,-3.28,-39.27,BR,1540685974,80.47,18.28,44,100
140,Shelburne,44.08,-80.2,CA,1540685280,37.4,4.7,90,93
141,Lasa,34.92,32.53,CY,1540684800,59.0,5.82,0,72
142,San Quintin,17.54,120.52,PH,1540684800,77.0,6.93,75,69
143,Port Blair,11.67,92.75,IN,1540685975,84.07,14.03,12,100
144,Barnstaple,51.08,-4.06,GB,1540684200,41.0,9.17,20,69
145,Hovd,63.83,10.7,NO,1540684200,26.6,6.93,75,92
146,Khash,28.22,61.21,IR,1540685975,50.77,2.73,76,70
147,Jalu,29.03,21.55,LY,1540685976,66.88,12.12,44,41
148,Cayenne,4.94,-52.33,GF,1540683000,82.4,1.12,75,78
149,Grootfontein,-19.56,18.1,NA,1540685976,60.72,1.95,48,69
150,Ayna,38.55,-2.07,ES,1540684800,41.0,5.82,0,86
151,Waipawa,-39.94,176.59,NZ,1540685978,63.78,5.19,64,79
152,Sulangan,11.14,123.72,PH,1540685978,82.45,15.26,0,100
153,Kichera,55.93,110.1,RU,1540685978,23.32,3.74,68,100
154,Norman Wells,65.28,-126.83,CA,1540684800,23.0,4.7,90,92
155,San Andres,13.32,122.68,PH,1540685978,80.25,19.84,48,100
156,Lakes Entrance,-37.88,147.99,AU,1540685979,56.62,4.29,44,81
157,Tiksi,71.64,128.87,RU,1540685737,14.46,15.48,36,77
158,Chara,39.42,22.43,GR,1540684200,53.6,4.7,0,100
159,Hermanus,-34.42,19.24,ZA,1540685980,61.75,3.85,0,83
160,Saldanha,41.42,-6.55,PT,1540685981,35.65,6.08,24,85
161,Te Anau,-45.41,167.72,NZ,1540685909,46.09,3.4,92,99
162,Luderitz,-26.65,15.16,NA,1540681200,77.0,2.24,32,44
163,Upernavik,72.79,-56.15,GL,1540685981,23.73,23.31,92,100
164,Lipari,38.47,14.95,IT,1540684500,64.4,12.75,75,82
165,Dumbravita,45.77,25.43,RO,1540685981,47.08,4.41,24,82
166,Prieska,-29.67,22.74,ZA,1540685738,62.61,4.18,0,31
167,Tuktoyaktuk,69.44,-133.03,CA,1540684800,24.8,13.87,90,100
168,Kununurra,-15.77,128.74,AU,1540684800,96.8,12.75,0,28
169,Daru,7.99,-10.85,SL,1540685982,74.22,2.95,80,95
170,Severo-Yeniseyskiy,60.37,93.04,RU,1540685982,41.1,9.55,0,59
171,Kalbay,5.72,125.5,PH,1540685982,81.55,2.73,12,78
172,Hualmay,-11.1,-77.61,PE,1540685983,61.35,4.97,20,88
173,Namatanai,-3.66,152.44,PG,1540685983,81.51,3.62,36,100
174,Yellowknife,62.45,-114.38,CA,1540684800,32.0,6.93,90,93
175,Grindavik,63.84,-22.43,IS,1540683000,41.0,35.57,90,93
176,Placido de Castro,-10.34,-67.19,BR,1540685985,81.6,2.95,0,76
177,Mount Isa,-20.73,139.49,AU,1540684800,86.0,6.93,48,15
178,Trzin,46.13,14.56,SI,1540684800,55.4,2.24,90,100
179,Aska,19.61,84.67,IN,1540685985,60.9,2.84,0,84
180,Lorengau,-2.02,147.27,PG,1540685884,84.75,0.94,0,97
181,Axim,4.87,-2.24,GH,1540685985,80.52,10.67,8,100
182,Broome,52.47,1.45,GB,1540684620,42.8,4.7,64,93
183,Dengzhou,32.69,112.08,CN,1540685986,46.99,2.95,0,76
184,Kodiak,39.95,-94.76,US,1540684380,57.2,5.82,1,67
185,Lubango,-14.92,13.49,AO,1540685986,62.38,2.73,36,74
186,Novyy Urengoy,66.08,76.63,RU,1540685986,26.88,23.42,8,84
187,Fereydun Kenar,36.69,52.52,IR,1540685986,57.34,4.85,92,100
188,Molteno,-31.4,26.36,ZA,1540685987,52.84,4.18,0,71
189,Paamiut,61.99,-49.67,GL,1540685987,36.82,34.94,92,100
190,Labytnangi,66.66,66.39,RU,1540685987,24.81,7.43,80,81
191,Hami,42.84,93.51,CN,1540685989,31.78,6.98,0,48
192,Santa Maria,-29.69,-53.81,BR,1540681200,64.4,2.24,0,88
193,Chulym,55.09,80.97,RU,1540685990,46.27,15.03,36,53
194,Quesnel,52.98,-122.49,CA,1540684800,50.0,8.05,1,46
195,Hokitika,-42.72,170.96,NZ,1540685991,55.23,5.41,68,94
196,Saint-Philippe,45.36,-73.48,CA,1540684980,35.6,18.34,90,100
197,Darnah,32.77,22.64,LY,1540685991,73.18,14.36,0,100
198,Adrar,27.87,-0.29,DZ,1540684800,69.8,8.05,0,52
199,Naze,5.43,7.07,NG,1540684800,77.0,5.53,20,94
200,Puerto Ayora,-0.74,-90.35,EC,1540681200,77.0,18.34,0,61
201,Chapais,49.78,-74.86,CA,1540684800,24.8,10.29,1,62
202,Rocha,-34.48,-54.34,UY,1540685994,57.3,6.42,64,91
203,Pervomayskiy,53.24,40.29,RU,1540685994,42.9,17.72,92,97
204,Kavieng,-2.57,150.8,PG,1540685994,82.54,4.63,48,100
205,Hithadhoo,-0.6,73.08,MV,1540685995,80.16,9.44,64,100
206,Ust-Karsk,52.71,118.82,RU,1540685995,26.74,10.45,76,46
207,Mastic Beach,40.77,-72.85,US,1540685400,53.6,5.82,90,93
208,Tromso,69.65,18.96,NO,1540682400,26.6,3.36,75,92
209,Anadyr,64.73,177.51,RU,1540681200,26.6,13.42,40,79
210,Saint-Georges,46.12,-70.67,CA,1540685998,31.56,10.0,92,82
211,Georgetown,6.8,-58.16,GY,1540681200,80.6,6.93,20,83
212,Chernyshevskiy,63.01,112.47,RU,1540685907,26.43,9.22,92,94
213,Balikpapan,-1.24,116.86,ID,1540686000,79.62,3.85,80,100
214,Geraldton,49.72,-86.95,CA,1540684800,35.6,3.36,90,80
215,Pochutla,15.74,-96.47,MX,1540680300,87.8,7.43,20,70
216,Saint-Marc,19.1,-72.7,HT,1540686001,76.33,2.62,48,99
217,Yerbogachen,61.28,108.01,RU,1540686001,29.67,6.53,8,97
218,Sorland,67.67,12.69,NO,1540686002,41.55,11.79,92,100
219,Alice Springs,-23.7,133.88,AU,1540684800,73.4,5.82,90,64
220,Kamenka,53.19,44.05,RU,1540686003,35.38,15.14,76,94
221,Isangel,-19.55,169.27,VU,1540686003,76.02,3.85,0,100
222,High Level,58.52,-117.13,CA,1540684800,41.0,4.7,75,60
223,Wladyslawowo,54.79,18.4,PL,1540684800,35.6,4.7,20,93
224,Port Augusta,-32.49,137.76,AU,1540684800,62.6,10.29,90,88
225,Estelle,32.87,-97.01,US,1540684500,77.0,3.36,1,53
226,Bandarbeyla,9.49,50.81,SO,1540686073,76.38,7.43,68,100
227,Tura,25.52,90.21,IN,1540686005,65.13,2.51,0,89
228,Guerrero Negro,27.97,-114.04,MX,1540686006,81.87,11.45,0,41
229,Batagay-Alyta,67.8,130.41,RU,1540686007,-20.11,2.62,8,27
230,Vardo,39.62,-77.74,US,1540684500,50.0,3.36,90,81
231,Martyush,56.4,61.89,RU,1540686007,26.83,9.55,0,84
232,Fukue,35.03,136.69,JP,1540683000,60.8,8.05,20,59
233,Juneau,58.3,-134.42,US,1540684560,46.4,4.7,90,87
234,Longyearbyen,78.22,15.63,NO,1540684200,19.4,10.29,75,73
235,Uglich,57.53,38.32,RU,1540686009,33.27,12.91,92,99
236,Kijang,35.24,129.21,KR,1540681200,46.4,1.12,0,81
237,Tuatapere,-46.13,167.69,NZ,1540686010,48.93,2.51,92,100
238,Lynchburg,37.41,-79.14,US,1540684500,57.2,5.82,90,66
239,Pogar,52.55,33.26,RU,1540686010,48.52,11.01,88,97
240,Mbulu,-3.86,35.54,TZ,1540686010,62.29,6.64,36,100
241,Calvinia,-31.47,19.78,ZA,1540686011,64.0,3.96,0,31
242,Northam,51.04,-4.21,GB,1540684200,41.0,16.11,20,75
243,Caravelas,-17.73,-39.27,BR,1540686012,79.35,30.58,68,96
244,Cabo San Lucas,22.89,-109.91,MX,1540680180,86.0,5.64,40,69
245,Thunder Bay,48.41,-89.26,CA,1540681200,42.8,10.29,90,100
246,Parana,-7.52,-72.89,BR,1540681200,78.8,2.24,0,88
247,Nouadhibou,20.93,-17.03,MR,1540684800,68.0,16.11,76,88
248,Ponta Delgada,37.73,-25.67,PT,1540684800,64.4,11.41,40,55
249,Yulara,-25.24,130.99,AU,1540684800,73.4,5.82,0,60
250,Bloemfontein,-29.12,26.22,ZA,1540681200,64.4,8.05,0,39
251,Negombo,7.21,79.83,LK,1540681800,75.2,5.82,20,94
252,Hobe Sound,27.06,-80.14,US,1540680780,80.6,5.82,40,54
253,Hamina,60.57,27.2,FI,1540684200,32.0,10.29,75,89
254,Smithers,54.78,-127.17,CA,1540684800,44.6,6.93,75,65
255,Sarakhs,36.54,61.16,TM,1540681200,51.8,6.93,92,93
256,Saint-Pierre,48.95,4.24,FR,1540684800,37.4,9.17,56,93
257,Klaksvik,62.23,-6.59,FO,1540684200,35.6,3.36,88,80
258,Tabas,33.6,56.92,IR,1540681200,75.2,2.24,92,33
259,Salme,13.3,19.7,TD,1540686021,73.95,8.43,0,31
260,Rincon,32.3,-81.24,US,1540684560,60.8,8.05,20,76
261,Swan Hill,-35.34,143.56,AU,1540685904,60.72,8.99,36,64
262,Biltine,14.53,20.93,TD,1540686021,79.17,14.14,0,24
263,Ambanja,-13.68,48.45,MG,1540686021,67.02,2.28,88,94
264,Riyadh,24.63,46.72,SA,1540681200,69.8,14.99,75,83
265,Cucuteni,47.78,27.12,RO,1540684800,57.2,12.75,0,67
266,Zhanakorgan,43.91,67.25,KZ,1540686023,50.73,21.41,80,69
267,Hobyo,5.35,48.53,SO,1540686023,74.4,4.18,20,97
268,Iqaluit,63.75,-68.52,CA,1540684800,17.6,31.09,75,85
269,Rakai,-0.71,31.4,UG,1540686025,58.65,2.84,0,92
270,Victoria,5.28,115.24,BN,1540684800,82.4,2.24,75,100
271,Coihaique,-45.58,-72.07,CL,1540681200,57.2,3.51,40,50
272,Khvorostyanka,52.62,48.95,RU,1540686026,29.67,7.2,36,91
273,Porto Novo,-23.68,-45.44,BR,1540681200,71.6,10.29,40,78
274,Vila Franca do Campo,37.72,-25.43,PT,1540684800,64.4,11.41,40,55
275,Itoman,26.12,127.67,JP,1540684560,71.6,16.11,75,53
276,Vestmanna,62.16,-7.17,FO,1540684200,35.6,3.36,76,80
277,Kecskemet,46.91,19.69,HU,1540684800,59.0,4.7,0,71
278,Khorinsk,52.16,109.78,RU,1540686027,32.28,1.72,92,89
279,Tabuk,17.41,121.44,PH,1540686030,66.43,3.18,88,96
280,Gandajika,-6.75,23.95,CD,1540686030,70.53,2.95,12,91
281,Narsaq,60.91,-46.05,GL,1540684200,32.0,9.17,88,95
282,Belmonte,40.36,-7.35,PT,1540686013,39.88,5.75,88,84
283,Palana,59.08,159.95,RU,1540686031,38.4,4.07,92,99
284,Bilma,18.69,12.92,NE,1540686031,75.79,6.53,32,29
285,Lavrentiya,65.58,-170.99,RU,1540686031,29.44,21.3,0,100
286,Saint-Joseph,43.56,6.97,FR,1540684800,59.0,1.12,90,93
287,Kulmbach,50.1,11.45,DE,1540684560,39.2,5.82,40,93
288,Vilyuysk,63.75,121.63,RU,1540686032,17.47,4.85,48,88
289,Nizhniy Ingash,56.2,96.53,RU,1540686032,25.35,3.96,0,76
290,Sokolo,14.74,-6.12,ML,1540686032,72.28,9.66,8,34
291,Badiraguato,25.36,-107.55,MX,1540686032,86.28,2.51,0,40
292,Bambous Virieux,-20.34,57.76,MU,1540681200,64.4,6.93,20,88
293,Kizhinga,51.85,109.91,RU,1540685748,32.82,2.73,92,93
294,Sirpur,18.94,78.68,IN,1540686033,63.73,3.06,0,69
295,Kanniyakumari,8.08,77.57,IN,1540686033,81.78,6.76,76,100
296,Toamasina,-18.17,49.38,MG,1540681200,69.8,2.73,40,94
297,Plettenberg Bay,-34.05,23.37,ZA,1540686033,62.88,7.43,0,96
298,Aklavik,68.22,-135.01,CA,1540684800,24.8,4.7,90,92
299,Kandrian,-6.21,149.55,PG,1540686034,72.42,3.18,92,100
300,Najran,17.54,44.22,SA,1540681200,71.6,2.28,0,35
301,Faro,37.02,-7.94,PT,1540684800,55.4,17.22,0,62
302,Pombal,-6.77,-37.8,BR,1540686035,83.22,8.77,0,38
303,Doha,25.29,51.53,QA,1540683000,82.4,13.87,75,74
304,Avera,33.19,-82.53,US,1540684500,59.0,5.82,90,82
305,Ginir,7.14,40.71,ET,1540686036,59.95,3.18,68,96
306,At-Bashi,41.17,75.81,KG,1540686038,17.97,3.18,0,73
307,Katastarion,37.83,20.77,GR,1540684200,62.6,4.7,20,88
308,Mkushi,-13.61,29.4,ZM,1540686038,64.09,12.01,0,35
309,Samarai,-10.62,150.67,PG,1540686038,80.29,9.1,80,100
310,Chokurdakh,70.62,147.9,RU,1540686039,8.7,7.43,88,88
311,Barreirinhas,-2.75,-42.83,BR,1540686039,80.07,13.02,0,75
312,Bandar,-4.2,104.14,ID,1540686040,75.7,4.52,12,88
313,Hailey,43.52,-114.32,US,1540684020,60.8,16.11,40,48
314,Oksfjord,70.24,22.35,NO,1540684200,32.0,4.7,88,86
315,Kidal,18.44,1.41,ML,1540685860,60.72,3.18,0,34
316,Fortuna,38.18,-1.13,ES,1540684800,59.0,12.75,20,71
317,Gorom-Gorom,14.45,-0.24,BF,1540686042,74.53,4.07,12,44
318,Touros,-5.2,-35.46,BR,1540686043,76.11,9.66,0,91
319,Broken Hill,-31.97,141.45,AU,1540686043,69.18,8.66,92,47
320,Maningrida,-12.05,134.23,AU,1540686043,85.24,6.53,8,72
321,Oussouye,12.49,-16.54,SN,1540684800,80.6,8.43,0,88
322,Koceljeva,44.47,19.82,RS,1540684800,64.4,12.75,0,59
323,Mount Hagen,-5.86,144.23,PG,1540684800,64.4,2.39,75,88
324,Clyde River,70.47,-68.59,CA,1540684800,8.6,18.34,90,84
325,Faya,18.39,42.45,SA,1540681200,62.6,3.4,0,87
326,Zapolyarnyy,69.43,30.82,RU,1540684200,28.4,12.75,80,79
327,Guanica,17.97,-66.91,PR,1540684200,80.6,11.41,75,100
328,Faanui,-16.48,-151.75,PF,1540686047,80.74,8.43,8,100
329,Pyapon,16.29,95.68,MM,1540686048,75.97,7.76,12,100
330,Hwange,-18.35,26.5,ZW,1540686048,71.61,16.04,0,25
331,Neiafu,-18.65,-173.98,TO,1540684800,78.8,6.93,75,74
332,Kaitangata,-46.28,169.85,NZ,1540686048,49.24,6.53,92,100
333,Braco do Norte,-28.27,-49.17,BR,1540686048,61.03,16.93,92,86
334,Marsa Matruh,31.35,27.25,EG,1540681200,62.6,4.29,40,67
335,Tucuman,-17.17,-70.89,PE,1540686049,58.38,1.16,0,74
336,Kropotkin,45.43,40.58,RU,1540686049,43.62,10.22,0,81
337,Gazanjyk,39.24,55.52,TM,1540686049,37.0,2.39,0,82
338,Uaua,-9.84,-39.48,BR,1540686049,88.93,7.09,64,30
339,Vilhena,-12.74,-60.15,BR,1540681200,80.6,3.36,20,74
340,Huntingdon,52.33,-0.18,GB,1540684620,39.2,8.05,1,100
341,Chuy,-33.69,-53.46,UY,1540685754,60.13,10.56,20,90
342,Vryheid,-27.77,30.79,ZA,1540686050,50.59,2.17,0,85
343,Hastings,-39.64,176.84,NZ,1540686050,67.78,9.78,8,78
344,San Anselmo,37.97,-122.56,US,1540684680,78.8,10.29,1,60
345,Surt,31.21,16.59,LY,1540686050,67.78,20.07,0,100
346,Golden,51.3,-116.96,CA,1540684800,41.0,3.36,90,93
347,Haines Junction,60.75,-137.51,CA,1540686051,31.78,1.39,12,73
348,Muros,42.77,-9.06,ES,1540684800,39.2,9.17,90,93
349,Pangoa,-12.12,-73.0,PE,1540686052,68.68,2.73,0,90
350,Isetskoye,56.49,65.32,RU,1540686053,31.6,10.22,36,65
351,Malangas,7.63,123.03,PH,1540686053,79.71,3.29,24,93
352,Progreso,-34.68,-56.22,UY,1540681200,62.6,8.05,75,77
353,Sao Joao da Barra,-21.64,-41.05,BR,1540681200,78.8,9.17,0,78
354,Bryukhovychi,49.9,23.96,UA,1540683000,48.2,2.24,75,100
355,Chancay,-11.56,-77.27,PE,1540686054,61.35,4.97,20,88
356,Ukholovo,53.79,40.49,RU,1540685811,42.85,17.94,92,94
357,Olean,42.08,-78.43,US,1540684560,37.4,8.05,90,100
358,Kurilsk,45.23,147.88,RU,1540686054,53.16,8.77,0,95
359,Manakara,-22.14,48.01,MG,1540686054,66.07,4.18,80,100
360,Pahrump,36.21,-115.98,US,1540684380,80.6,5.82,1,15
361,Bathsheba,13.22,-59.52,BB,1540681200,78.8,4.7,20,78
362,Uyskoye,54.37,60.01,RU,1540686056,26.29,9.1,0,71
363,Price,39.6,-110.81,US,1540684380,57.2,3.36,1,44
364,Tecoanapa,16.99,-99.26,MX,1540684020,82.4,6.93,75,78
365,Yeppoon,-23.13,150.74,AU,1540684800,86.0,4.7,0,51
366,Atherton,53.52,-2.49,GB,1540684200,41.0,2.24,20,86
367,Yinchuan,38.48,106.21,CN,1540686057,19.72,3.4,0,67
368,Koslan,63.46,48.9,RU,1540686057,29.89,3.4,80,94
369,Loukhi,66.08,33.04,RU,1540686058,28.0,8.77,0,100
370,Sandy Bay,-42.9,147.33,AU,1540684800,53.6,4.7,75,96
371,Mucurapo,10.67,-61.53,TT,1540681200,80.6,5.82,20,78
372,Saint Anthony,43.97,-111.68,US,1540684560,60.8,9.17,90,47
373,Atar,20.52,-13.05,MR,1540686058,84.21,5.75,76,24
374,Richards Bay,-28.77,32.06,ZA,1540686058,63.06,2.84,68,96
